target,method,embedding_backend,jsd,pdis,pdiv,clusters,occurrences_c1,occurrences_c2,batches_c1,batches_c2,updates_processed,historical_refreshes,historical_update_threshold,ap_preference_quantile,ap_damping,min_cluster_fraction,c1_only_clusters,c2_only_clusters,mixed_clusters,gold
attack_nn,widid,bert,0.33319122787173416,0.07200223375344816,0.0957231145269862,8,446,731,5,5,10,0,5,50.0,0.9,0.0,0,6,2,0.1439699927
bag_nn,widid,bert,0.13035342813078432,0.054289004009509756,0.1387211780336397,10,159,647,5,5,10,0,5,50.0,0.9,0.0,0,8,2,0.1003636619
ball_nn,widid,bert,0.35918423460704796,0.08538362507599784,0.16773686772676213,13,310,722,5,5,10,0,5,50.0,0.9,0.0,0,10,3,0.4093665525
bit_nn,widid,bert,0.25487261495874103,0.060396350448235325,0.04684909760058986,13,297,1008,5,5,10,0,5,50.0,0.9,0.0,0,7,6,0.3065766263
chairman_nn,widid,bert,0.4152155547772127,0.06310404930958657,0.03651899876646604,9,148,661,5,5,10,0,5,50.0,0.9,0.0,0,6,3,0.0
circle_vb,widid,bert,0.15757758450736126,0.08255304799174012,0.16161921680213132,9,407,414,5,5,10,0,5,50.0,0.9,0.0,0,6,3,0.1710871199
contemplation_nn,widid,bert,0.004645162577978541,0.08001706543014953,0.05943061169342462,2,220,108,5,5,10,0,5,50.0,0.9,0.0,0,1,1,0.070838721
donkey_nn,widid,bert,0.0,0.009611455208758057,1.1102230246251565e-16,1,85,114,5,5,10,0,5,50.0,0.9,0.0,0,0,1,0.1601038896
edge_nn,widid,bert,0.09303678052741882,0.04419996187753483,0.09023797422791972,11,340,875,5,5,10,0,5,50.0,0.9,0.0,0,6,5,0.2609655868
face_nn,widid,bert,0.09824657384268365,0.018141322753514988,0.056466010316940624,29,3096,3863,5,5,10,0,5,50.0,0.9,0.0,0,11,18,0.137791275
fiction_nn,widid,bert,0.2536904727376944,0.05631127841623795,0.1411858579295181,5,165,316,5,5,10,0,5,50.0,0.9,0.0,0,4,1,0.0207232682
gas_nn,widid,bert,0.41340864827540647,0.10569686073807538,0.17370313170220436,8,120,625,5,5,10,0,5,50.0,0.9,0.0,0,7,1,0.1595695865
graft_nn,widid,bert,0.3579415554298,0.11373416616017396,0.09288473861030395,3,89,88,5,5,10,0,5,50.0,0.9,0.0,0,2,1,0.5539755971
head_nn,widid,bert,0.1554724703440451,0.023512746487344027,0.07841748919975733,38,3207,3839,5,5,10,0,5,50.0,0.9,0.0,0,19,19,0.2952561247
